group,fold,validation_score
Legacy,1,0.673
Legacy,2,0.562
Legacy,3,0.673
Legacy,4,0.600
Legacy,5,0.572
Legacy,6,0.688
Legacy,7,0.694
Legacy,8,0.601
Legacy,9,0.568
Legacy,10,0.617
Legacy,11,0.690
Legacy,12,0.572
Legacy,13,0.627
Legacy,14,0.598
Legacy,15,0.628
Legacy,16,0.636
Legacy,17,0.560
Legacy,18,0.680
Legacy,19,0.615
Legacy,20,0.748
Legacy,21,0.557
Legacy,22,0.666
Legacy,23,0.652
Legacy,24,0.575
Legacy,25,0.645
Legacy,26,0.659
Legacy,27,0.613
Legacy,28,0.628
Legacy,29,0.649
Legacy,30,0.618
Legacy,31,0.541
Legacy,32,0.601
Legacy,33,0.646
Legacy,34,0.654
Legacy,35,0.681
Legacy,36,0.605
Legacy,37,0.574
Legacy,38,0.607
Legacy,39,0.655
Legacy,40,0.676
Legacy,41,0.607
Legacy,42,0.661
Legacy,43,0.670
Legacy,44,0.659
Legacy,45,0.614
Legacy,46,0.629
Legacy,47,0.598
Legacy,48,0.667
Legacy,49,0.643
Legacy,50,0.641
Legacy,51,0.626
Legacy,52,0.594
Legacy,53,0.649
Legacy,54,0.583
Legacy,55,0.562
Legacy,56,0.635
Legacy,57,0.702
Legacy,58,0.591
Legacy,59,0.582
Legacy,60,0.706
Legacy,61,0.625
Legacy,62,0.606
Legacy,63,0.625
Legacy,64,0.632
Legacy,65,0.643
Legacy,66,0.639
Legacy,67,0.599
Legacy,68,0.558
Legacy,69,0.597
Legacy,70,0.678
Legacy,71,0.618
Legacy,72,0.584
Baseline,1,0.697
Baseline,2,0.700
Baseline,3,0.700
Baseline,4,0.659
Baseline,5,0.688
Baseline,6,0.655
Baseline,7,0.713
Baseline,8,0.692
Baseline,9,0.591
Baseline,10,0.692
Baseline,11,0.685
Baseline,12,0.626
Baseline,13,0.694
Baseline,14,0.749
Baseline,15,0.649
Baseline,16,0.651
Baseline,17,0.744
Baseline,18,0.678
Baseline,19,0.724
Baseline,20,0.729
Baseline,21,0.662
Baseline,22,0.677
Baseline,23,0.665
Baseline,24,0.588
Baseline,25,0.680
Baseline,26,0.688
Baseline,27,0.641
Baseline,28,0.688
Baseline,29,0.748
Baseline,30,0.716
Baseline,31,0.657
Baseline,32,0.725
Baseline,33,0.650
Baseline,34,0.685
Baseline,35,0.699
Baseline,36,0.626
Baseline,37,0.657
Baseline,38,0.677
Baseline,39,0.705
Baseline,40,0.734
Baseline,41,0.680
Baseline,42,0.685
Baseline,43,0.713
Baseline,44,0.611
Baseline,45,0.620
Baseline,46,0.726
Baseline,47,0.558
Baseline,48,0.662
Baseline,49,0.663
Baseline,50,0.718
Baseline,51,0.661
Baseline,52,0.687
Baseline,53,0.767
Baseline,54,0.608
Baseline,55,0.684
Baseline,56,0.756
Baseline,57,0.744
Baseline,58,0.660
Baseline,59,0.738
Baseline,60,0.661
Baseline,61,0.716
Baseline,62,0.685
Baseline,63,0.714
Baseline,64,0.693
Baseline,65,0.642
Baseline,66,0.648
Baseline,67,0.620
Baseline,68,0.645
Baseline,69,0.661
Baseline,70,0.719
Baseline,71,0.737
Baseline,72,0.657
Tuned,1,0.740
Tuned,2,0.723
Tuned,3,0.727
Tuned,4,0.763
Tuned,5,0.671
Tuned,6,0.709
Tuned,7,0.743
Tuned,8,0.779
Tuned,9,0.684
Tuned,10,0.698
Tuned,11,0.767
Tuned,12,0.676
Tuned,13,0.675
Tuned,14,0.753
Tuned,15,0.758
Tuned,16,0.738
Tuned,17,0.729
Tuned,18,0.753
Tuned,19,0.743
Tuned,20,0.729
Tuned,21,0.730
Tuned,22,0.720
Tuned,23,0.765
Tuned,24,0.701
Tuned,25,0.812
Tuned,26,0.695
Tuned,27,0.733
Tuned,28,0.822
Tuned,29,0.735
Tuned,30,0.727
Tuned,31,0.732
Tuned,32,0.776
Tuned,33,0.678
Tuned,34,0.689
Tuned,35,0.764
Tuned,36,0.756
Tuned,37,0.794
Tuned,38,0.717
Tuned,39,0.699
Tuned,40,0.670
Tuned,41,0.713
Tuned,42,0.739
Tuned,43,0.768
Tuned,44,0.722
Tuned,45,0.803
Tuned,46,0.780
Tuned,47,0.690
Tuned,48,0.698
Tuned,49,0.767
Tuned,50,0.668
Tuned,51,0.723
Tuned,52,0.665
