cohort,sample,model_score,observed_outcome
Baseline,1,0.688,0.761
Baseline,2,0.48,0.528
Baseline,3,0.536,0.656
Baseline,4,0.613,0.655
Baseline,5,0.519,0.59
Baseline,6,0.671,0.68
Baseline,7,0.541,0.555
Baseline,8,0.539,0.608
Baseline,9,0.565,0.609
Baseline,10,0.71,0.732
Baseline,11,0.633,0.711
Baseline,12,0.611,0.64
Baseline,13,0.633,0.63
Baseline,14,0.656,0.687
Baseline,15,0.594,0.588
Baseline,16,0.55,0.562
Baseline,17,0.619,0.636
Baseline,18,0.603,0.639
Baseline,19,0.669,0.722
Baseline,20,0.569,0.635
Baseline,21,0.619,0.67
Baseline,22,0.658,0.696
Baseline,23,0.7,0.746
Baseline,24,0.532,0.589
Baseline,25,0.538,0.627
Baseline,26,0.636,0.708
Baseline,27,0.66,0.627
Baseline,28,0.622,0.735
Baseline,29,0.55,0.552
Baseline,30,0.643,0.65
Baseline,31,0.527,0.684
Baseline,32,0.603,0.716
Baseline,33,0.693,0.76
Baseline,34,0.537,0.641
Baseline,35,0.568,0.594
Baseline,36,0.659,0.678
Baseline,37,0.683,0.757
Baseline,38,0.718,0.704
Baseline,39,0.603,0.669
Baseline,40,0.638,0.641
Baseline,41,0.629,0.711
Baseline,42,0.589,0.618
Baseline,43,0.48,0.556
Baseline,44,0.556,0.636
Baseline,45,0.744,0.755
Baseline,46,0.645,0.722
Baseline,47,0.505,0.593
Baseline,48,0.614,0.675
Baseline,49,0.584,0.661
Baseline,50,0.587,0.629
Baseline,51,0.484,0.611
Baseline,52,0.684,0.772
Baseline,53,0.66,0.673
Baseline,54,0.65,0.634
Baseline,55,0.645,0.682
Baseline,56,0.677,0.75
Baseline,57,0.48,0.526
Baseline,58,0.654,0.646
Baseline,59,0.621,0.667
Baseline,60,0.629,0.62
Ours,1,0.625,0.634
Ours,2,0.723,0.817
Ours,3,0.792,0.869
Ours,4,0.801,0.807
Ours,5,0.755,0.841
Ours,6,0.82,0.888
Ours,7,0.844,0.871
Ours,8,0.75,0.822
Ours,9,0.77,0.82
Ours,10,0.813,0.868
Ours,11,0.803,0.776
Ours,12,0.752,0.821
Ours,13,0.787,0.879
Ours,14,0.766,0.781
Ours,15,0.816,0.801
Ours,16,0.791,0.782
Ours,17,0.76,0.827
Ours,18,0.725,0.774
Ours,19,0.721,0.775
Ours,20,0.77,0.867
Ours,21,0.744,0.736
Ours,22,0.791,0.836
Ours,23,0.678,0.783
Ours,24,0.708,0.788
Ours,25,0.747,0.799
Ours,26,0.736,0.811
Ours,27,0.736,0.769
Ours,28,0.819,0.869
Ours,29,0.685,0.826
Ours,30,0.793,0.786
Ours,31,0.75,0.778
Ours,32,0.847,0.818
Ours,33,0.78,0.833
Ours,34,0.76,0.724
Ours,35,0.91,0.917
Ours,36,0.718,0.795
Ours,37,0.734,0.794
Ours,38,0.636,0.721
Ours,39,0.782,0.778
Ours,40,0.805,0.841
Ours,41,0.809,0.827
Ours,42,0.714,0.809
Ours,43,0.786,0.848
Ours,44,0.661,0.808
Ours,45,0.838,0.882
Ours,46,0.876,0.873
Ours,47,0.656,0.739
Ours,48,0.713,0.819
Ours,49,0.838,0.88
Ours,50,0.735,0.748
Ours,51,0.736,0.814
Ours,52,0.708,0.781
Ours,53,0.758,0.806
Ours,54,0.83,0.848
Ours,55,0.697,0.796
Ours,56,0.62,0.72
Ours,57,0.887,0.901
Ours,58,0.904,0.941
Ours,59,0.638,0.718
Ours,60,0.71,0.813
