feature,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12
f01,1.0,0.75,0.74,0.74,-0.25,-0.33,-0.23,-0.14,0.14,0.27,0.19,0.19
f02,0.75,1.0,0.68,0.67,-0.23,-0.32,-0.33,-0.22,0.04,0.07,0.26,0.13
f03,0.74,0.68,1.0,0.8,-0.13,-0.22,-0.2,-0.27,0.15,0.2,0.06,0.11
f04,0.74,0.67,0.8,1.0,-0.31,-0.13,-0.33,-0.19,0.19,0.06,0.1,0.27
f05,-0.25,-0.23,-0.13,-0.31,1.0,0.82,0.69,0.78,-0.33,-0.21,-0.24,-0.08
f06,-0.33,-0.32,-0.22,-0.13,0.82,1.0,0.69,0.86,-0.14,-0.31,-0.35,-0.09
f07,-0.23,-0.33,-0.2,-0.33,0.69,0.69,1.0,0.66,-0.37,-0.33,-0.09,-0.21
f08,-0.14,-0.22,-0.27,-0.19,0.78,0.86,0.66,1.0,-0.13,-0.15,-0.26,-0.22
f09,0.14,0.04,0.15,0.19,-0.33,-0.14,-0.37,-0.13,1.0,0.86,0.63,0.67
f10,0.27,0.07,0.2,0.06,-0.21,-0.31,-0.33,-0.15,0.86,1.0,0.69,0.7
f11,0.19,0.26,0.06,0.1,-0.24,-0.35,-0.09,-0.26,0.63,0.69,1.0,0.69
f12,0.19,0.13,0.11,0.27,-0.08,-0.09,-0.21,-0.22,0.67,0.7,0.69,1.0
