family,split,validation_score
Legacy,1,0.537
Legacy,2,0.612
Legacy,3,0.615
Legacy,4,0.637
Legacy,5,0.665
Legacy,6,0.701
Legacy,7,0.567
Legacy,8,0.686
Legacy,9,0.643
Legacy,10,0.64
Legacy,11,0.679
Legacy,12,0.691
Legacy,13,0.62
Legacy,14,0.724
Legacy,15,0.638
Legacy,16,0.715
Legacy,17,0.652
Legacy,18,0.719
Legacy,19,0.689
Legacy,20,0.637
Legacy,21,0.664
Legacy,22,0.612
Legacy,23,0.57
Legacy,24,0.616
Legacy,25,0.759
Legacy,26,0.581
Legacy,27,0.762
Legacy,28,0.585
Legacy,29,0.6
Legacy,30,0.637
Legacy,31,0.594
Legacy,32,0.662
Legacy,33,0.664
Legacy,34,0.617
Legacy,35,0.706
Legacy,36,0.596
Legacy,37,0.64
Legacy,38,0.597
Legacy,39,0.605
Legacy,40,0.586
Legacy,41,0.608
Legacy,42,0.598
Legacy,43,0.652
Legacy,44,0.682
Legacy,45,0.59
Legacy,46,0.622
Legacy,47,0.679
Legacy,48,0.565
Legacy,49,0.638
Legacy,50,0.614
Legacy,51,0.675
Legacy,52,0.625
Legacy,53,0.654
Legacy,54,0.59
Legacy,55,0.668
Legacy,56,0.619
Legacy,57,0.671
Legacy,58,0.617
Legacy,59,0.735
Legacy,60,0.637
Legacy,61,0.666
Legacy,62,0.737
Legacy,63,0.696
Legacy,64,0.621
Baseline,1,0.64
Baseline,2,0.682
Baseline,3,0.76
Baseline,4,0.719
Baseline,5,0.642
Baseline,6,0.73
Baseline,7,0.695
Baseline,8,0.701
Baseline,9,0.756
Baseline,10,0.696
Baseline,11,0.678
Baseline,12,0.696
Baseline,13,0.669
Baseline,14,0.726
Baseline,15,0.68
Baseline,16,0.664
Baseline,17,0.737
Baseline,18,0.752
Baseline,19,0.691
Baseline,20,0.66
Baseline,21,0.797
Baseline,22,0.711
Baseline,23,0.635
Baseline,24,0.705
Baseline,25,0.746
Baseline,26,0.821
Baseline,27,0.735
Baseline,28,0.697
Baseline,29,0.653
Baseline,30,0.728
Baseline,31,0.707
Baseline,32,0.78
Baseline,33,0.717
Baseline,34,0.709
Baseline,35,0.719
Baseline,36,0.66
Baseline,37,0.659
Baseline,38,0.661
Baseline,39,0.726
Baseline,40,0.729
Baseline,41,0.819
Baseline,42,0.708
Baseline,43,0.689
Baseline,44,0.681
Baseline,45,0.612
Baseline,46,0.731
Baseline,47,0.698
Baseline,48,0.593
Baseline,49,0.762
Baseline,50,0.698
Baseline,51,0.712
Baseline,52,0.687
Baseline,53,0.725
Baseline,54,0.744
Baseline,55,0.675
Baseline,56,0.615
Baseline,57,0.666
Baseline,58,0.739
Baseline,59,0.633
Baseline,60,0.688
Baseline,61,0.664
Baseline,62,0.646
Baseline,63,0.667
Baseline,64,0.713
Tuned,1,0.76
Tuned,2,0.775
Tuned,3,0.757
Tuned,4,0.737
Tuned,5,0.793
Tuned,6,0.746
Tuned,7,0.728
Tuned,8,0.658
Tuned,9,0.802
Tuned,10,0.74
Tuned,11,0.675
Tuned,12,0.78
Tuned,13,0.727
Tuned,14,0.772
Tuned,15,0.654
Tuned,16,0.763
Tuned,17,0.704
Tuned,18,0.772
Tuned,19,0.755
Tuned,20,0.726
Tuned,21,0.745
Tuned,22,0.739
Tuned,23,0.692
Tuned,24,0.768
Tuned,25,0.723
Tuned,26,0.735
Tuned,27,0.746
Tuned,28,0.751
Tuned,29,0.733
Tuned,30,0.745
Tuned,31,0.774
Tuned,32,0.77
Tuned,33,0.67
Tuned,34,0.78
Tuned,35,0.726
Tuned,36,0.784
Tuned,37,0.74
Tuned,38,0.749
Tuned,39,0.764
Tuned,40,0.714
Tuned,41,0.742
Tuned,42,0.728
Tuned,43,0.774
Tuned,44,0.785
Tuned,45,0.757
Tuned,46,0.717
Tuned,47,0.728
Tuned,48,0.776
Tuned,49,0.726
Tuned,50,0.646
Tuned,51,0.772
Tuned,52,0.693
Tuned,53,0.745
Tuned,54,0.736
Tuned,55,0.769
Tuned,56,0.777
Tuned,57,0.723
Tuned,58,0.759
Tuned,59,0.817
Tuned,60,0.764
Tuned,61,0.748
Tuned,62,0.715
Tuned,63,0.718
Tuned,64,0.725
Ablated,1,0.736
Ablated,2,0.714
Ablated,3,0.762
Ablated,4,0.767
Ablated,5,0.747
Ablated,6,0.77
Ablated,7,0.788
Ablated,8,0.771
Ablated,9,0.754
Ablated,10,0.796
Ablated,11,0.826
Ablated,12,0.779
Ablated,13,0.763
Ablated,14,0.751
Ablated,15,0.738
Ablated,16,0.786
Ablated,17,0.748
Ablated,18,0.815
Ablated,19,0.793
Ablated,20,0.761
Ablated,21,0.717
Ablated,22,0.784
Ablated,23,0.751
Ablated,24,0.814
Ablated,25,0.753
Ablated,26,0.803
Ablated,27,0.76
Ablated,28,0.776
Ablated,29,0.741
Ablated,30,0.795
Ablated,31,0.753
Ablated,32,0.812
Ablated,33,0.743
Ablated,34,0.769
