model,observation,residual
Raw model,1,-0.477
Raw model,2,-0.004
Raw model,3,-0.075
Raw model,4,-0.030
Raw model,5,-0.326
Raw model,6,0.095
Raw model,7,0.072
Raw model,8,0.273
Raw model,9,0.107
Raw model,10,-0.018
Raw model,11,0.119
Raw model,12,-0.257
Raw model,13,-0.486
Raw model,14,-0.504
Raw model,15,-0.065
Raw model,16,-0.172
Raw model,17,0.141
Raw model,18,-0.190
Raw model,19,0.219
Raw model,20,-0.115
Raw model,21,-0.263
Raw model,22,-0.187
Raw model,23,-0.056
Raw model,24,0.170
Raw model,25,-0.101
Raw model,26,-0.167
Raw model,27,-0.250
Raw model,28,0.164
Raw model,29,-0.229
Raw model,30,-0.119
Raw model,31,-0.080
Raw model,32,-0.347
Raw model,33,-0.022
Raw model,34,-0.258
Raw model,35,0.145
Raw model,36,0.409
Raw model,37,0.078
Raw model,38,-0.081
Raw model,39,-0.096
Raw model,40,-0.320
Raw model,41,0.061
Raw model,42,-0.285
Raw model,43,-0.068
Raw model,44,0.028
Raw model,45,-0.232
Raw model,46,-0.016
Raw model,47,-0.265
Raw model,48,-0.088
Raw model,49,-0.371
Raw model,50,-0.475
Raw model,51,-0.193
Raw model,52,-0.028
Raw model,53,-0.281
Raw model,54,0.062
Raw model,55,0.012
Raw model,56,0.121
Raw model,57,-0.192
Raw model,58,-0.190
Raw model,59,-0.199
Raw model,60,-0.135
Raw model,61,-0.219
Raw model,62,0.240
Raw model,63,-0.001
Raw model,64,-0.012
Raw model,65,0.115
Raw model,66,-0.291
Raw model,67,0.083
Raw model,68,-0.269
Raw model,69,0.120
Raw model,70,-0.208
Raw model,71,0.081
Raw model,72,-0.145
Raw model,73,0.046
Raw model,74,-0.092
Raw model,75,-0.295
Raw model,76,-0.237
Raw model,77,0.095
Raw model,78,0.030
Raw model,79,-0.499
Raw model,80,0.205
Raw model,81,0.055
Raw model,82,0.198
Raw model,83,-0.019
Raw model,84,-0.091
Raw model,85,-0.272
Raw model,86,-0.106
Raw model,87,-0.065
