date,daily_net_profit_wan
2025-01-01,20.63
2025-01-02,65.83
2025-01-03,35.11
2025-01-04,-29.62
2025-01-05,10.38
2025-01-06,25.22
2025-01-07,116.77
2025-01-08,-34.8
2025-01-09,38.47
2025-01-10,-19.5
2025-01-11,83.6
2025-01-12,31.74
2025-01-13,46.79
2025-01-14,-0.76
2025-01-15,42.36
2025-01-16,-32.51
2025-01-17,8.87
2025-01-18,18.03
2025-01-19,37.91
2025-01-20,29.48
2025-01-21,44.85
2025-01-22,14.23
2025-01-23,-0.35
2025-01-24,33.71
2025-01-25,4.27
2025-01-26,59.22
2025-01-27,26.93
2025-01-28,39.3
2025-01-29,-1.12
2025-01-30,3.0
2025-01-31,2.03
2025-02-01,14.53
2025-02-02,44.58
2025-02-03,-0.35
2025-02-04,47.89
2025-02-05,-6.46
2025-02-06,30.33
2025-02-07,73.95
2025-02-08,-20.65
2025-02-09,9.48
2025-02-10,-17.32
2025-02-11,-12.47
2025-02-12,121.68
2025-02-13,16.87
2025-02-14,48.02
2025-02-15,10.68
2025-02-16,30.61
2025-02-17,112.03
2025-02-18,24.36
2025-02-19,0.3
2025-02-20,17.74
2025-02-21,43.47
2025-02-22,9.18
2025-02-23,23.22
2025-02-24,2.68
2025-02-25,25.79
2025-02-26,5.83
2025-02-27,24.65
2025-02-28,50.58
2025-03-01,55.66
2025-03-02,31.18
2025-03-03,47.34
2025-03-04,46.51
2025-03-05,34.55
2025-03-06,18.32
2025-03-07,-0.92
2025-03-08,3.64
2025-03-09,-1.34
2025-03-10,30.05
2025-03-11,26.64
2025-03-12,21.5
2025-03-13,10.97
2025-03-14,48.2
2025-03-15,32.02
2025-03-16,11.27
2025-03-17,132.0
2025-03-18,39.58
2025-03-19,19.48
2025-03-20,-16.28
2025-03-21,-25.57
2025-03-22,49.05
2025-03-23,16.57
2025-03-24,-28.24
2025-03-25,36.79
2025-03-26,27.5
2025-03-27,16.28
2025-03-28,22.93
2025-03-29,-23.04
2025-03-30,34.27
2025-03-31,-9.2
2025-04-01,5.21
2025-04-02,5.52
2025-04-03,-15.28
2025-04-04,77.0
2025-04-05,20.06
2025-04-06,-31.05
2025-04-07,37.63
2025-04-08,-0.43
2025-04-09,-7.76
2025-04-10,41.53
2025-04-11,40.69
2025-04-12,23.79
2025-04-13,9.78
2025-04-14,27.78
2025-04-15,40.42
2025-04-16,40.97
2025-04-17,33.43
2025-04-18,15.11
2025-04-19,33.15
2025-04-20,19.19
2025-04-21,20.92
2025-04-22,31.46
2025-04-23,-10.76
2025-04-24,90.88
2025-04-25,-9.96
2025-04-26,98.83
2025-04-27,19.77
2025-04-28,48.17
2025-04-29,46.24
2025-04-30,71.07
2025-05-01,1.36
2025-05-02,13.64
2025-05-03,28.06
2025-05-04,22.65
2025-05-05,45.13
2025-05-06,-4.75
2025-05-07,1.7
2025-05-08,10.08
2025-05-09,-26.88
2025-05-10,8.57
2025-05-11,41.81
2025-05-12,44.02
2025-05-13,12.76
2025-05-14,-11.6
2025-05-15,37.07
2025-05-16,30.89
2025-05-17,24.08
2025-05-18,45.96
2025-05-19,13.94
2025-05-20,28.63
2025-05-21,94.77
2025-05-22,35.67
2025-05-23,17.16
2025-05-24,24.94
2025-05-25,28.35
2025-05-26,38.19
2025-05-27,17.45
2025-05-28,14.82
2025-05-29,3.95
2025-05-30,7.97
2025-05-31,61.25
2025-06-01,29.2
2025-06-02,-1.59
2025-06-03,8.27
2025-06-04,2.35
2025-06-05,7.36
2025-06-06,25.51
2025-06-07,51.59
2025-06-08,4.58
2025-06-09,32.3
2025-06-10,32.58
2025-06-11,43.19
2025-06-12,13.35
2025-06-13,12.16
2025-06-14,20.34
2025-06-15,36.51
2025-06-16,-8.46
2025-06-17,-2.19
2025-06-18,38.75
2025-06-19,33.99
2025-06-20,23.51
2025-06-21,54.14
2025-06-22,18.9
2025-06-23,39.02
2025-06-24,13.05
2025-06-25,27.21
2025-06-26,-5.85
2025-06-27,87.16
2025-06-28,-3.77
2025-06-29,-2.54
2025-06-30,-34.0
2025-07-01,36.23
2025-07-02,45.41
2025-07-03,126.75
2025-07-04,37.35
2025-07-05,4.89
2025-07-06,35.95
2025-07-07,6.44
2025-07-08,26.08
2025-07-09,-4.24
2025-07-10,3.32
2025-07-11,26.36
2025-07-12,21.78
2025-07-13,-0.62
2025-07-14,-3.33
2025-07-15,42.64
2025-07-16,47.62
2025-07-17,7.05
2025-07-18,49.73
2025-07-19,42.92
2025-07-20,32.87
2025-07-21,-0.38
2025-07-22,22.36
2025-07-23,39.86
2025-07-24,15.4
2025-07-25,80.22
2025-07-26,15.99
2025-07-27,-13.37
2025-07-28,21.21
2025-07-29,68.37
2025-07-30,6.13
2025-07-31,12.46
2025-08-01,1.02
2025-08-02,18.61
2025-08-03,45.68
2025-08-04,-21.83
2025-08-05,-0.51
2025-08-06,6.75
2025-08-07,103.06
2025-08-08,41.25
2025-08-09,-18.4
2025-08-10,35.39
2025-08-11,44.3
2025-08-12,22.07
2025-08-13,15.7
2025-08-14,63.45
2025-08-15,57.36
2025-08-16,-7.09
2025-08-17,11.87
2025-08-18,42.08
2025-08-19,29.76
2025-08-20,11.57
2025-08-21,43.75
2025-08-22,-2.92
2025-08-23,34.83
2025-08-24,-14.31
2025-08-25,0.67
2025-08-26,-5.28
2025-08-27,7.66
2025-08-28,-1.88
2025-08-29,132.0
2025-08-30,52.78
2025-08-31,48.54
2025-09-01,28.91
2025-09-02,40.14
2025-09-03,47.06
