month,baseline,tuned,ours
2025-01-01,58.9,61.5,62.9
2025-02-01,60.3,62.9,64.5
2025-03-01,62.1,64.6,66.2
2025-04-01,63.9,66.2,68.0
2025-05-01,65.3,67.6,69.6
2025-06-01,66.2,68.6,70.9
2025-07-01,66.4,69.1,71.9
2025-08-01,66.0,69.3,72.5
2025-09-01,65.4,69.2,73.0
2025-10-01,66.2,69.2,73.4
2025-11-01,65.9,69.3,74.1
2025-12-01,64.6,69.9,75.0
2026-01-01,65.5,70.9,76.3
2026-02-01,67.0,70.3,75.3
2026-03-01,68.7,71.9,77.1
2026-04-01,70.5,75.5,81.5
2026-05-01,71.9,76.9,83.1
2026-06-01,72.8,77.9,86.8
2026-07-01,73.0,78.5,87.7
2026-08-01,72.7,78.7,88.3
2026-09-01,72.0,78.6,88.8
2026-10-01,71.3,78.5,89.3
2026-11-01,71.0,78.7,89.9
2026-12-01,71.2,79.3,90.8
