group,replicate,score
Control,1,0.682
Control,2,0.636
Control,3,0.618
Control,4,0.620
Control,5,0.722
Control,6,0.727
Control,7,0.695
Control,8,0.674
Control,9,0.693
Control,10,0.600
Control,11,0.636
Control,12,0.616
Control,13,0.720
Control,14,0.605
Control,15,0.685
Control,16,0.700
Control,17,0.629
Control,18,0.689
Control,19,0.671
Control,20,0.683
Control,21,0.600
Control,22,0.578
Control,23,0.702
Control,24,0.590
Control,25,0.599
Control,26,0.676
Control,27,0.664
Control,28,0.694
Control,29,0.621
Control,30,0.604
Control,31,0.658
Control,32,0.632
Control,33,0.687
Control,34,0.593
Control,35,0.629
Control,36,0.664
Control,37,0.667
Control,38,0.602
Control,39,0.560
Control,40,0.619
Control,41,0.710
Control,42,0.691
Control,43,0.634
Control,44,0.729
Control,45,0.705
Control,46,0.605
Control,47,0.675
Control,48,0.744
Control,49,0.566
Control,50,0.731
Control,51,0.747
Control,52,0.697
Control,53,0.699
Control,54,0.633
Control,55,0.637
Control,56,0.673
Control,57,0.734
Control,58,0.690
Control,59,0.612
Control,60,0.618
Control,61,0.590
Control,62,0.694
Control,63,0.618
Control,64,0.620
Control,65,0.631
Control,66,0.598
Control,67,0.617
Control,68,0.604
Control,69,0.675
Control,70,0.602
Control,71,0.598
Control,72,0.643
Control,73,0.739
Control,74,0.701
Control,75,0.633
Control,76,0.587
Control,77,0.590
Control,78,0.734
Control,79,0.611
Control,80,0.754
Control,81,0.589
Control,82,0.702
Control,83,0.734
Control,84,0.607
Control,85,0.672
Control,86,0.635
Control,87,0.617
Control,88,0.744
Control,89,0.677
Control,90,0.698
Control,91,0.627
Control,92,0.724
Control,93,0.667
Control,94,0.716
Control,95,0.632
Control,96,0.653
Control,97,0.672
Control,98,0.585
Control,99,0.586
Control,100,0.539
Control,101,0.584
Control,102,0.673
Control,103,0.592
Control,104,0.625
Control,105,0.712
Control,106,0.703
Control,107,0.546
Control,108,0.708
Control,109,0.723
Control,110,0.612
Control,111,0.569
Control,112,0.687
Control,113,0.699
Control,114,0.534
Control,115,0.683
Control,116,0.587
Control,117,0.705
Control,118,0.597
Control,119,0.726
Control,120,0.688
Control,121,0.652
Control,122,0.682
Control,123,0.756
Control,124,0.724
Control,125,0.628
Control,126,0.594
Control,127,0.606
Control,128,0.611
Control,129,0.617
Control,130,0.637
Control,131,0.586
Control,132,0.600
Legacy,1,0.660
Legacy,2,0.722
Legacy,3,0.633
Legacy,4,0.681
Legacy,5,0.675
Legacy,6,0.663
Legacy,7,0.621
Legacy,8,0.651
Legacy,9,0.607
Legacy,10,0.707
Legacy,11,0.696
Legacy,12,0.648
Legacy,13,0.617
Legacy,14,0.801
Legacy,15,0.768
Legacy,16,0.683
Legacy,17,0.612
Legacy,18,0.726
Legacy,19,0.642
Legacy,20,0.598
Legacy,21,0.686
Legacy,22,0.667
Legacy,23,0.639
Legacy,24,0.624
Legacy,25,0.646
Legacy,26,0.658
Legacy,27,0.603
Legacy,28,0.713
Legacy,29,0.707
Legacy,30,0.584
Legacy,31,0.619
Legacy,32,0.687
Legacy,33,0.719
Legacy,34,0.600
Legacy,35,0.574
Legacy,36,0.787
Legacy,37,0.685
Legacy,38,0.611
Legacy,39,0.661
Legacy,40,0.697
Legacy,41,0.738
Legacy,42,0.797
Legacy,43,0.788
Legacy,44,0.746
Legacy,45,0.707
Legacy,46,0.688
Legacy,47,0.678
Legacy,48,0.690
Legacy,49,0.679
Legacy,50,0.730
Legacy,51,0.670
Legacy,52,0.662
Legacy,53,0.723
Legacy,54,0.605
Legacy,55,0.680
Legacy,56,0.772
Legacy,57,0.690
Legacy,58,0.632
Legacy,59,0.563
Legacy,60,0.617
Legacy,61,0.773
Legacy,62,0.629
Legacy,63,0.625
Legacy,64,0.745
Legacy,65,0.658
Legacy,66,0.777
Legacy,67,0.602
Legacy,68,0.689
Legacy,69,0.643
Legacy,70,0.645
Legacy,71,0.621
Legacy,72,0.648
Legacy,73,0.806
Legacy,74,0.732
Legacy,75,0.602
Legacy,76,0.656
Legacy,77,0.667
Legacy,78,0.693
Legacy,79,0.849
Legacy,80,0.700
Legacy,81,0.727
Legacy,82,0.650
Legacy,83,0.647
Legacy,84,0.706
Legacy,85,0.787
Legacy,86,0.795
Legacy,87,0.657
Legacy,88,0.621
Legacy,89,0.784
Legacy,90,0.740
Legacy,91,0.713
Legacy,92,0.648
Legacy,93,0.622
Legacy,94,0.668
Legacy,95,0.680
Legacy,96,0.713
Legacy,97,0.781
Legacy,98,0.700
Legacy,99,0.649
Legacy,100,0.664
Legacy,101,0.608
Legacy,102,0.645
Legacy,103,0.727
Legacy,104,0.638
Legacy,105,0.790
Legacy,106,0.677
Legacy,107,0.686
Legacy,108,0.809
Legacy,109,0.601
Legacy,110,0.792
Legacy,111,0.758
Legacy,112,0.621
Legacy,113,0.662
Legacy,114,0.641
Legacy,115,0.677
Legacy,116,0.663
Legacy,117,0.555
Legacy,118,0.632
Legacy,119,0.675
Legacy,120,0.639
Legacy,121,0.638
Legacy,122,0.600
Legacy,123,0.770
Legacy,124,0.709
Legacy,125,0.683
Legacy,126,0.624
Legacy,127,0.639
Legacy,128,0.650
Legacy,129,0.773
Legacy,130,0.653
Legacy,131,0.754
Legacy,132,0.738
Tuned,1,0.636
Tuned,2,0.751
Tuned,3,0.728
Tuned,4,0.771
Tuned,5,0.788
Tuned,6,0.680
Tuned,7,0.655
Tuned,8,0.778
Tuned,9,0.775
Tuned,10,0.749
Tuned,11,0.708
Tuned,12,0.777
Tuned,13,0.656
Tuned,14,0.792
Tuned,15,0.724
Tuned,16,0.701
Tuned,17,0.734
Tuned,18,0.716
Tuned,19,0.751
Tuned,20,0.775
Tuned,21,0.718
Tuned,22,0.809
Tuned,23,0.747
Tuned,24,0.755
Tuned,25,0.760
Tuned,26,0.662
Tuned,27,0.685
Tuned,28,0.634
Tuned,29,0.732
Tuned,30,0.812
Tuned,31,0.705
Tuned,32,0.761
Tuned,33,0.756
Tuned,34,0.663
Tuned,35,0.766
Tuned,36,0.636
Tuned,37,0.675
Tuned,38,0.798
Tuned,39,0.782
Tuned,40,0.706
Tuned,41,0.679
Tuned,42,0.698
Tuned,43,0.646
Tuned,44,0.734
Tuned,45,0.699
Tuned,46,0.692
Tuned,47,0.782
Tuned,48,0.719
Tuned,49,0.699
Tuned,50,0.742
Tuned,51,0.718
Tuned,52,0.812
Tuned,53,0.716
Tuned,54,0.721
Tuned,55,0.659
Tuned,56,0.732
Tuned,57,0.811
Tuned,58,0.708
Tuned,59,0.718
Tuned,60,0.688
Tuned,61,0.704
Tuned,62,0.762
Tuned,63,0.686
Tuned,64,0.770
Tuned,65,0.802
Tuned,66,0.790
Tuned,67,0.757
Tuned,68,0.775
Tuned,69,0.706
Tuned,70,0.794
Tuned,71,0.814
Tuned,72,0.785
Tuned,73,0.690
Tuned,74,0.668
Tuned,75,0.774
Tuned,76,0.779
Tuned,77,0.708
Tuned,78,0.800
Tuned,79,0.678
Tuned,80,0.702
Tuned,81,0.757
Tuned,82,0.710
Tuned,83,0.699
Tuned,84,0.687
Tuned,85,0.664
Tuned,86,0.665
Tuned,87,0.670
Tuned,88,0.865
Tuned,89,0.745
Tuned,90,0.783
Tuned,91,0.815
Tuned,92,0.679
Tuned,93,0.759
Tuned,94,0.672
Tuned,95,0.696
Tuned,96,0.776
Tuned,97,0.725
Tuned,98,0.786
Tuned,99,0.780
Tuned,100,0.704
Tuned,101,0.780
Tuned,102,0.772
Tuned,103,0.742
Tuned,104,0.753
Tuned,105,0.734
Tuned,106,0.653
Tuned,107,0.785
Tuned,108,0.680
Tuned,109,0.684
Tuned,110,0.781
Tuned,111,0.743
Tuned,112,0.707
Tuned,113,0.732
Tuned,114,0.729
Tuned,115,0.741
Tuned,116,0.730
Tuned,117,0.719
Tuned,118,0.814
Tuned,119,0.815
Tuned,120,0.805
Tuned,121,0.720
Tuned,122,0.732
Tuned,123,0.786
Tuned,124,0.677
Tuned,125,0.773
Tuned,126,0.693
Tuned,127,0.671
Tuned,128,0.769
Tuned,129,0.660
Tuned,130,0.705
Tuned,131,0.684
Tuned,132,0.689
Specialist,1,0.904
Specialist,2,0.847
Specialist,3,0.845
Specialist,4,0.809
Specialist,5,0.863
Specialist,6,0.836
Specialist,7,0.724
Specialist,8,0.889
Specialist,9,0.737
Specialist,10,0.840
Specialist,11,0.725
Specialist,12,0.823
Specialist,13,0.896
Specialist,14,0.854
Specialist,15,0.835
Specialist,16,0.866
Specialist,17,0.833
Specialist,18,0.894
Specialist,19,0.832
