month,baseline,forecast_mean,forecast_sem,observed
2024-01-01,0.611,0.639,0.03,0.639
2024-02-01,0.625,0.66,0.03,0.665
2024-03-01,0.637,0.676,0.029,0.682
2024-04-01,0.645,0.685,0.029,0.687
2024-05-01,0.648,0.685,0.028,0.681
2024-06-01,0.648,0.678,0.028,0.67
2024-07-01,0.644,0.668,0.027,0.66
2024-08-01,0.64,0.658,0.027,0.656
2024-09-01,0.637,0.653,0.026,0.659
2024-10-01,0.636,0.654,0.026,0.667
2024-11-01,0.64,0.664,0.025,0.677
2024-12-01,0.649,0.679,0.025,0.688
2025-01-01,0.662,0.698,0.025,0.699
2025-02-01,0.678,0.718,0.024,0.71
2025-03-01,0.695,0.734,0.03,0.724
2025-04-01,0.675,0.71,0.029,0.703
2025-05-01,0.688,0.717,0.029,0.715
2025-06-01,0.698,0.719,0.028,0.723
2025-07-01,0.703,0.719,0.028,0.725
2025-08-01,0.739,0.755,0.027,0.758
2025-09-01,0.739,0.758,0.021,0.754
2025-10-01,0.738,0.763,0.021,0.753
2025-11-01,0.738,0.771,0.02,0.76
2025-12-01,0.741,0.779,0.02,0.773
2026-01-01,0.748,0.788,0.019,0.79
2026-02-01,0.758,0.796,0.019,0.806
2026-03-01,0.77,0.802,0.018,0.816
2026-04-01,0.782,0.808,0.018,0.819
2026-05-01,0.793,0.813,0.017,0.817
2026-06-01,0.802,0.818,0.017,0.815
