month,hour,envelope_mw,forecast_mw,actual_mw,in_curtailment_window
2025/04,05,0.7,0.4,0.4,0
2025/04,06,2.0,1.2,1.3,0
2025/04,07,19.6,11.0,10.8,0
2025/04,08,50.7,29.3,26.5,0
2025/04,09,89.7,53.1,47.8,0
2025/04,10,122.7,72.5,48.3,1
2025/04,11,150.7,89.7,62.6,1
2025/04,12,168.3,98.2,73.1,1
2025/04,13,166.7,94.2,68.0,1
2025/04,14,152.6,87.1,65.3,1
2025/04,15,125.8,73.7,55.8,1
2025/04,16,89.4,51.8,35.2,1
2025/04,17,52.7,31.1,31.4,0
2025/04,18,20.3,12.1,10.5,0
2025/04,19,0.6,0.4,0.4,0
2025/04,20,0.0,0.0,0.0,0
2025/05,05,0.0,0.0,0.0,0
2025/05,06,4.6,3.0,2.8,0
2025/05,07,31.0,18.5,18.6,0
2025/05,08,61.5,38.4,36.5,0
2025/05,09,98.3,58.6,60.1,0
2025/05,10,132.6,84.8,56.5,1
2025/05,11,156.2,97.4,56.3,1
2025/05,12,170.4,107.7,65.4,1
2025/05,13,169.2,102.2,59.8,1
2025/05,14,156.9,96.5,60.6,1
2025/05,15,133.4,82.4,54.9,1
2025/05,16,98.5,60.0,35.0,1
2025/05,17,61.3,36.1,36.7,0
2025/05,18,26.7,16.2,16.8,0
2025/05,19,5.4,3.2,3.4,0
2025/05,20,0.4,0.2,0.2,0
2025/06,05,2.5,1.5,1.5,0
2025/06,06,10.9,6.5,6.8,0
2025/06,07,35.3,20.8,21.1,0
2025/06,08,70.3,41.7,44.8,0
2025/06,09,106.6,63.2,64.2,0
2025/06,10,134.7,83.4,88.7,0
2025/06,11,160.6,95.0,52.3,1
2025/06,12,174.1,106.4,55.0,1
2025/06,13,173.8,102.6,60.2,1
2025/06,14,160.9,93.9,48.0,1
2025/06,15,135.6,80.1,42.7,1
2025/06,16,105.9,61.5,60.9,0
2025/06,17,69.8,42.4,46.8,0
2025/06,18,35.7,21.0,21.1,0
2025/06,19,10.1,5.9,6.1,0
2025/06,20,0.0,0.0,0.0,0
2025/07,05,0.6,0.4,0.4,0
2025/07,06,7.9,5.1,5.1,0
2025/07,07,34.4,23.0,20.3,0
2025/07,08,65.7,43.3,43.3,0
2025/07,09,101.1,66.1,69.0,0
2025/07,10,132.1,87.7,94.0,0
2025/07,11,157.7,103.4,49.0,1
2025/07,12,169.6,116.2,59.9,1
2025/07,13,170.3,112.2,52.6,1
2025/07,14,155.4,105.0,51.6,1
2025/07,15,133.7,92.2,44.4,1
2025/07,16,100.8,64.9,62.7,0
2025/07,17,66.7,45.4,44.7,0
2025/07,18,33.1,22.1,21.1,0
2025/07,19,9.3,6.2,6.0,0
2025/07,20,0.2,0.1,0.1,0
2025/08,05,0.0,0.0,0.0,0
2025/08,06,3.1,2.0,2.1,0
2025/08,07,28.4,17.5,18.7,0
2025/08,08,62.5,39.6,39.5,0
2025/08,09,97.5,62.5,61.6,0
2025/08,10,132.0,82.0,80.5,0
2025/08,11,153.5,97.1,51.1,1
2025/08,12,168.5,107.3,55.2,1
2025/08,13,168.1,104.5,57.9,1
2025/08,14,153.3,96.2,48.6,1
2025/08,15,129.2,85.0,43.5,1
2025/08,16,99.4,62.4,30.0,1
2025/08,17,62.6,38.3,40.3,0
2025/08,18,29.0,18.3,17.3,0
2025/08,19,4.5,2.8,2.9,0
2025/08,20,0.0,0.0,0.0,0
2025/09,05,0.0,0.0,0.0,0
2025/09,06,0.7,0.4,0.4,0
2025/09,07,17.0,9.7,9.8,0
2025/09,08,51.7,30.0,29.4,0
2025/09,09,89.4,51.9,53.1,0
2025/09,10,121.8,67.9,41.0,1
2025/09,11,150.0,85.4,48.5,1
2025/09,12,164.0,91.3,53.9,1
2025/09,13,163.1,95.2,60.4,1
2025/09,14,148.8,84.5,50.1,1
2025/09,15,120.7,69.4,41.8,1
2025/09,16,84.5,48.5,43.6,0
2025/09,17,50.7,28.5,28.7,0
2025/09,18,18.5,11.2,11.4,0
2025/09,19,0.0,0.0,0.0,0
2025/09,20,0.9,0.5,0.5,0
2025/10,05,0.0,0.0,0.0,0
2025/10,06,0.0,0.0,0.0,0
2025/10,07,6.8,3.6,3.7,0
2025/10,08,34.0,18.7,19.9,0
2025/10,09,74.2,40.2,38.3,0
2025/10,10,109.3,57.6,40.5,1
2025/10,11,139.5,75.0,54.0,1
2025/10,12,153.5,82.9,58.6,1
2025/10,13,155.6,84.7,65.3,1
2025/10,14,138.6,74.1,58.1,1
2025/10,15,109.9,60.1,46.7,1
2025/10,16,73.9,38.8,28.9,1
2025/10,17,35.3,20.1,19.8,0
2025/10,18,8.3,4.7,4.3,0
2025/10,19,0.0,0.0,0.0,0
2025/10,20,0.7,0.4,0.4,0
