interval,residual_demand_gw,clearing_price_eur_mwh
1,21.01,15.97
2,14.45,23.97
3,28.91,39.24
4,19.84,41.13
5,29.48,49.18
6,10.64,31.99
7,17.97,21.24
8,7.68,-13.58
9,34.71,80.83
10,14.77,17.67
11,14.74,26.82
12,26.16,53.11
13,14.03,29.96
14,16.28,39.97
15,37.25,113.15
16,9.31,13.35
17,9.01,-2.31
18,30.30,55.01
19,26.48,19.38
20,17.53,58.88
21,31.76,63.40
22,23.75,16.64
23,16.68,33.66
24,22.73,48.63
25,28.61,66.21
26,38.00,126.83
27,21.48,34.33
28,28.33,71.94
29,32.13,81.28
30,26.55,42.82
31,28.87,47.41
32,14.02,46.06
33,23.37,28.45
34,39.44,115.32
35,23.47,53.20
36,25.36,51.94
37,25.92,35.36
38,26.76,26.86
39,29.10,56.58
40,14.25,27.32
41,33.81,67.47
42,17.43,13.41
43,28.71,52.44
44,25.43,55.07
45,22.17,38.18
46,24.47,60.65
47,15.28,36.63
48,21.38,27.97
49,27.03,112.01
50,33.39,101.31
51,28.77,55.62
52,28.96,41.69
53,28.63,46.99
54,13.46,22.39
55,24.06,66.97
56,17.63,35.28
57,25.59,17.06
58,16.10,26.82
59,16.18,36.24
60,11.87,38.54
61,28.66,61.02
62,22.02,38.71
63,32.27,83.13
64,30.53,80.38
65,12.46,23.31
66,31.58,54.65
67,21.57,37.78
68,25.76,57.78
69,14.74,21.00
70,13.54,5.86
71,16.60,42.03
72,32.66,117.75
73,32.46,110.66
74,14.41,32.41
75,24.59,36.33
76,26.04,57.27
77,27.25,52.01
78,18.63,20.10
79,29.63,54.18
80,33.43,88.04
81,23.68,81.65
82,37.08,127.10
83,19.42,54.32
84,30.58,63.60
85,22.01,38.23
86,12.11,29.49
87,12.60,44.89
88,25.01,56.45
89,23.91,29.90
90,23.60,49.72
91,31.44,79.32
92,29.12,47.14
93,16.63,29.11
94,27.54,53.32
95,17.66,53.60
96,11.23,-5.26
97,6.89,-23.40
98,33.47,81.89
99,19.07,48.21
100,16.80,60.15
101,23.62,39.17
102,18.81,37.28
103,31.95,82.88
104,27.26,62.68
105,21.40,31.81
106,32.34,88.46
107,13.64,17.91
108,30.68,61.81
109,14.16,21.73
110,27.41,52.27
111,29.84,68.04
112,27.85,61.73
113,12.89,3.56
114,25.40,55.51
115,20.70,40.14
116,29.69,37.68
117,12.20,25.71
118,36.05,102.31
119,33.43,78.17
120,17.31,45.41
121,11.88,18.36
122,27.53,62.98
123,25.82,34.28
124,17.14,24.05
125,10.72,36.89
126,11.76,36.24
127,14.87,8.84
128,33.07,93.95
129,26.93,51.51
130,18.20,33.26
131,9.48,15.18
132,15.74,36.22
133,26.49,58.36
134,11.74,23.69
135,30.28,75.62
136,16.95,25.23
137,16.99,42.93
138,28.57,51.87
139,23.04,52.45
140,22.27,23.79
141,12.18,43.00
142,20.95,43.80
143,16.64,27.83
144,21.08,13.37
145,22.04,52.82
146,18.55,45.73
147,26.54,41.84
148,14.44,29.72
149,27.92,61.17
150,29.16,44.62
151,18.73,36.50
152,25.24,53.32
153,29.70,79.23
154,29.17,69.18
155,11.16,10.35
156,22.55,38.53
157,23.12,41.67
158,12.12,35.89
159,34.55,73.41
160,11.47,41.22
161,17.07,33.71
162,35.55,94.90
163,10.41,3.70
164,26.69,48.82
165,15.09,9.34
166,30.30,55.64
167,6.57,-4.53
168,19.90,40.02
169,16.84,46.30
170,29.57,61.21
171,26.06,66.18
172,13.65,51.23
173,16.42,26.48
174,14.46,31.89
175,24.96,40.76
176,25.98,42.56
177,24.97,51.69
178,13.76,33.83
179,11.48,35.22
180,21.75,30.16
181,24.77,68.25
182,29.03,67.13
183,19.81,39.75
184,33.87,68.04
185,28.08,70.05
186,20.85,41.71
187,24.16,51.37
188,22.22,55.28
189,9.68,7.14
190,18.92,39.59
191,16.03,43.92
192,23.16,37.95
193,24.74,27.89
194,27.63,62.62
195,15.83,43.05
196,24.01,61.80
197,12.28,10.86
198,12.61,4.51
199,27.17,50.03
200,19.94,35.40
201,33.77,77.26
202,20.50,58.88
203,31.77,85.91
204,29.76,68.98
205,20.72,53.98
206,9.63,-0.15
207,28.65,47.55
208,23.30,45.74
209,20.49,54.24
210,20.99,48.92
211,24.68,51.65
212,20.55,37.20
213,14.08,26.82
214,17.36,25.83
215,18.93,27.32
216,19.63,53.06
217,16.30,20.05
218,29.83,53.27
219,29.04,57.28
220,16.14,28.63
221,21.53,41.58
222,11.29,26.06
223,22.81,57.66
224,14.88,18.00
225,13.18,28.49
226,17.75,48.04
227,21.81,48.41
228,14.04,30.21
229,27.03,37.40
230,22.32,54.99
231,11.78,19.25
232,8.80,-2.12
233,24.73,57.78
234,28.03,30.96
235,12.22,14.40
236,19.06,54.19
237,24.28,28.82
238,17.39,18.14
239,34.37,68.52
240,10.36,9.43
241,14.32,34.37
242,12.95,41.84
243,9.27,15.94
244,25.98,69.05
245,33.45,109.11
246,33.90,102.02
247,30.35,19.62
248,31.47,59.01
249,19.48,32.76
250,13.96,15.40
251,16.55,36.99
252,20.76,50.57
253,16.12,26.15
254,17.27,39.81
255,12.79,31.12
256,27.93,66.95
257,9.32,24.56
258,13.66,39.19
259,33.36,105.39
260,24.96,40.87
261,28.86,61.51
262,16.26,101.28
263,25.10,46.77
264,35.78,81.99
265,28.67,78.26
266,31.15,57.74
267,15.75,51.19
268,21.13,42.24
269,32.26,63.33
270,13.90,36.37
271,15.61,20.27
272,16.46,45.81
273,22.67,19.07
274,24.68,48.79
275,14.98,32.07
276,10.18,24.41
277,24.32,33.99
278,31.74,68.47
279,18.87,10.97
280,7.57,-5.43
281,6.78,-10.02
282,29.66,68.12
283,30.13,78.81
284,11.54,40.87
285,13.84,43.25
286,10.47,13.69
287,19.35,35.64
288,29.41,45.47
289,8.84,61.04
290,12.48,21.15
291,16.43,33.94
292,13.53,51.45
293,26.50,15.02
294,16.15,16.11
295,37.02,120.00
296,15.64,28.78
297,32.14,53.11
298,13.31,24.77
299,14.81,32.11
300,15.99,41.96
301,12.78,27.86
302,19.99,39.25
303,9.05,9.37
304,21.19,31.37
305,23.73,50.44
306,21.32,51.86
307,28.89,49.06
308,15.03,12.17
309,33.01,89.99
310,13.47,40.00
311,20.04,30.39
312,20.10,27.32
313,11.02,28.30
314,29.26,67.58
315,9.34,9.25
316,19.90,58.96
317,12.97,34.62
318,13.75,21.40
319,10.06,4.19
320,22.33,45.66
321,23.44,51.73
322,19.53,25.55
323,23.49,42.33
324,30.65,69.46
325,27.40,37.23
326,40.24,165.03
327,31.24,100.78
328,23.86,46.80
329,30.80,72.72
330,29.06,61.56
331,29.41,71.51
332,11.22,17.67
333,19.74,50.52
334,20.49,36.31
335,25.73,39.25
336,13.53,15.01
337,9.68,24.65
338,25.29,36.17
339,19.75,30.28
340,23.81,26.18
341,14.54,36.01
342,22.85,41.56
343,19.05,36.50
344,10.85,10.15
345,23.96,34.97
346,25.04,50.76
347,11.39,36.65
348,14.61,15.98
349,18.85,8.72
350,24.51,25.90
351,40.93,127.29
352,14.61,41.48
353,13.26,37.69
354,21.59,48.83
355,10.25,13.36
356,16.84,30.54
357,21.89,49.95
358,25.94,56.80
359,23.62,53.64
360,25.60,43.74
361,12.85,31.55
362,18.70,26.82
363,28.72,60.16
364,14.85,48.69
365,13.27,12.47
366,13.58,29.94
367,20.03,30.56
368,34.15,86.39
369,15.97,52.76
370,28.85,64.27
371,33.68,94.63
372,26.19,49.96
373,10.94,5.50
374,22.90,40.23
375,14.71,23.72
376,26.46,32.49
377,11.14,17.98
378,21.23,33.11
379,27.51,67.52
380,28.84,84.50
381,9.66,17.13
382,29.86,69.62
383,4.03,-38.02
384,30.79,50.53
385,31.95,87.36
386,34.44,73.36
387,14.63,47.86
388,16.28,37.62
389,21.33,42.50
390,18.48,38.61
391,35.80,89.87
392,31.18,87.09
393,13.43,16.33
394,22.47,42.69
