model,fpr,tpr,auc
Ours (gated ensemble),0.00000,0.00000,0.919
Ours (gated ensemble),0.00000,0.01429,0.919
Ours (gated ensemble),0.00000,0.02857,0.919
Ours (gated ensemble),0.00000,0.03810,0.919
Ours (gated ensemble),0.00000,0.05238,0.919
Ours (gated ensemble),0.00000,0.06667,0.919
Ours (gated ensemble),0.00000,0.07619,0.919
Ours (gated ensemble),0.00127,0.09048,0.919
Ours (gated ensemble),0.00127,0.10000,0.919
Ours (gated ensemble),0.00127,0.11429,0.919
Ours (gated ensemble),0.00127,0.12857,0.919
Ours (gated ensemble),0.00127,0.13810,0.919
Ours (gated ensemble),0.00127,0.15238,0.919
Ours (gated ensemble),0.00127,0.16667,0.919
Ours (gated ensemble),0.00127,0.17619,0.919
Ours (gated ensemble),0.00127,0.19048,0.919
Ours (gated ensemble),0.00127,0.20000,0.919
Ours (gated ensemble),0.00127,0.21429,0.919
Ours (gated ensemble),0.00127,0.22857,0.919
Ours (gated ensemble),0.00127,0.23810,0.919
Ours (gated ensemble),0.00127,0.25238,0.919
Ours (gated ensemble),0.00127,0.26667,0.919
Ours (gated ensemble),0.00127,0.27619,0.919
Ours (gated ensemble),0.00127,0.29048,0.919
Ours (gated ensemble),0.00506,0.30000,0.919
Ours (gated ensemble),0.00633,0.30952,0.919
Ours (gated ensemble),0.00633,0.32381,0.919
Ours (gated ensemble),0.00633,0.33333,0.919
Ours (gated ensemble),0.00633,0.34762,0.919
Ours (gated ensemble),0.00633,0.36190,0.919
Ours (gated ensemble),0.00633,0.37143,0.919
Ours (gated ensemble),0.00759,0.38571,0.919
Ours (gated ensemble),0.00759,0.39524,0.919
Ours (gated ensemble),0.00759,0.40952,0.919
Ours (gated ensemble),0.00759,0.42381,0.919
Ours (gated ensemble),0.00886,0.43333,0.919
Ours (gated ensemble),0.01013,0.44286,0.919
Ours (gated ensemble),0.01519,0.45238,0.919
Ours (gated ensemble),0.01772,0.46190,0.919
Ours (gated ensemble),0.01899,0.47619,0.919
Ours (gated ensemble),0.02152,0.48571,0.919
Ours (gated ensemble),0.02278,0.49524,0.919
Ours (gated ensemble),0.02405,0.50476,0.919
Ours (gated ensemble),0.02532,0.51905,0.919
Ours (gated ensemble),0.02911,0.52857,0.919
Ours (gated ensemble),0.02911,0.53810,0.919
Ours (gated ensemble),0.02911,0.55238,0.919
Ours (gated ensemble),0.03418,0.55714,0.919
Ours (gated ensemble),0.03797,0.56667,0.919
Ours (gated ensemble),0.03924,0.58095,0.919
Ours (gated ensemble),0.04304,0.59048,0.919
Ours (gated ensemble),0.04304,0.60000,0.919
Ours (gated ensemble),0.04810,0.60952,0.919
Ours (gated ensemble),0.05316,0.61429,0.919
Ours (gated ensemble),0.05570,0.62381,0.919
Ours (gated ensemble),0.05570,0.63810,0.919
Ours (gated ensemble),0.05696,0.64762,0.919
Ours (gated ensemble),0.06203,0.65714,0.919
Ours (gated ensemble),0.06329,0.66667,0.919
Ours (gated ensemble),0.06456,0.68095,0.919
Ours (gated ensemble),0.06582,0.69048,0.919
Ours (gated ensemble),0.07215,0.69524,0.919
Ours (gated ensemble),0.08101,0.70000,0.919
Ours (gated ensemble),0.08354,0.70952,0.919
Ours (gated ensemble),0.08608,0.71905,0.919
Ours (gated ensemble),0.09114,0.72857,0.919
Ours (gated ensemble),0.09494,0.73810,0.919
Ours (gated ensemble),0.09873,0.74762,0.919
Ours (gated ensemble),0.10000,0.75714,0.919
Ours (gated ensemble),0.10380,0.76667,0.919
Ours (gated ensemble),0.10506,0.77619,0.919
Ours (gated ensemble),0.10759,0.78571,0.919
Ours (gated ensemble),0.11519,0.79048,0.919
Ours (gated ensemble),0.12025,0.80000,0.919
Ours (gated ensemble),0.12532,0.80952,0.919
Ours (gated ensemble),0.12911,0.81429,0.919
Ours (gated ensemble),0.13797,0.81905,0.919
Ours (gated ensemble),0.15063,0.81905,0.919
Ours (gated ensemble),0.15823,0.82381,0.919
Ours (gated ensemble),0.16582,0.82857,0.919
Ours (gated ensemble),0.17342,0.83333,0.919
Ours (gated ensemble),0.17848,0.84286,0.919
Ours (gated ensemble),0.18354,0.85238,0.919
Ours (gated ensemble),0.18481,0.86190,0.919
Ours (gated ensemble),0.19114,0.86667,0.919
Ours (gated ensemble),0.20253,0.86667,0.919
Ours (gated ensemble),0.20886,0.87619,0.919
Ours (gated ensemble),0.21392,0.88095,0.919
Ours (gated ensemble),0.22152,0.88571,0.919
Ours (gated ensemble),0.23418,0.88571,0.919
Ours (gated ensemble),0.23797,0.89524,0.919
Ours (gated ensemble),0.24557,0.90000,0.919
Ours (gated ensemble),0.25823,0.90000,0.919
Ours (gated ensemble),0.26582,0.90476,0.919
Ours (gated ensemble),0.27848,0.90476,0.919
Ours (gated ensemble),0.28608,0.90952,0.919
Ours (gated ensemble),0.29114,0.91905,0.919
Ours (gated ensemble),0.29873,0.92381,0.919
Ours (gated ensemble),0.30506,0.92857,0.919
Ours (gated ensemble),0.31266,0.93333,0.919
Ours (gated ensemble),0.32025,0.93810,0.919
Ours (gated ensemble),0.33038,0.94286,0.919
Ours (gated ensemble),0.34051,0.94286,0.919
Ours (gated ensemble),0.34937,0.94762,0.919
Ours (gated ensemble),0.36076,0.94762,0.919
Ours (gated ensemble),0.37342,0.94762,0.919
Ours (gated ensemble),0.37722,0.95714,0.919
Ours (gated ensemble),0.38987,0.95714,0.919
Ours (gated ensemble),0.39367,0.96667,0.919
Ours (gated ensemble),0.40506,0.96667,0.919
Ours (gated ensemble),0.41772,0.96667,0.919
Ours (gated ensemble),0.43038,0.96667,0.919
Ours (gated ensemble),0.44177,0.97143,0.919
Ours (gated ensemble),0.45063,0.97143,0.919
Ours (gated ensemble),0.46329,0.97143,0.919
Ours (gated ensemble),0.47595,0.97143,0.919
Ours (gated ensemble),0.48608,0.97619,0.919
Ours (gated ensemble),0.49620,0.97619,0.919
Ours (gated ensemble),0.50886,0.97619,0.919
Ours (gated ensemble),0.52152,0.97619,0.919
Ours (gated ensemble),0.52911,0.98095,0.919
Ours (gated ensemble),0.53671,0.98571,0.919
Ours (gated ensemble),0.54937,0.98571,0.919
Ours (gated ensemble),0.56203,0.98571,0.919
Ours (gated ensemble),0.57468,0.98571,0.919
Ours (gated ensemble),0.58734,0.98571,0.919
Ours (gated ensemble),0.59494,0.99048,0.919
Ours (gated ensemble),0.60759,0.99048,0.919
Ours (gated ensemble),0.62025,0.99048,0.919
Ours (gated ensemble),0.63291,0.99048,0.919
Ours (gated ensemble),0.64557,0.99048,0.919
Ours (gated ensemble),0.65823,0.99048,0.919
Ours (gated ensemble),0.67089,0.99048,0.919
Ours (gated ensemble),0.67848,0.99524,0.919
Ours (gated ensemble),0.69114,0.99524,0.919
Ours (gated ensemble),0.70380,0.99524,0.919
Ours (gated ensemble),0.71646,0.99524,0.919
Ours (gated ensemble),0.72911,0.99524,0.919
Ours (gated ensemble),0.74177,0.99524,0.919
Ours (gated ensemble),0.75443,0.99524,0.919
Ours (gated ensemble),0.76582,0.99524,0.919
Ours (gated ensemble),0.77848,0.99524,0.919
Ours (gated ensemble),0.78861,1.00000,0.919
Ours (gated ensemble),0.80000,1.00000,0.919
Ours (gated ensemble),0.81139,1.00000,0.919
Ours (gated ensemble),0.82405,1.00000,0.919
Ours (gated ensemble),0.83671,1.00000,0.919
Ours (gated ensemble),0.84937,1.00000,0.919
Ours (gated ensemble),0.86203,1.00000,0.919
Ours (gated ensemble),0.87468,1.00000,0.919
Ours (gated ensemble),0.88734,1.00000,0.919
Ours (gated ensemble),0.90000,1.00000,0.919
Ours (gated ensemble),0.91266,1.00000,0.919
Ours (gated ensemble),0.92532,1.00000,0.919
Ours (gated ensemble),0.93797,1.00000,0.919
Ours (gated ensemble),0.95063,1.00000,0.919
Ours (gated ensemble),0.96329,1.00000,0.919
Ours (gated ensemble),0.97595,1.00000,0.919
Ours (gated ensemble),0.98861,1.00000,0.919
Ours (gated ensemble),1.00000,1.00000,0.919
Gradient boosting,0.00000,0.00000,0.866
Gradient boosting,0.00000,0.01429,0.866
Gradient boosting,0.00000,0.02857,0.866
Gradient boosting,0.00000,0.03810,0.866
Gradient boosting,0.00000,0.05238,0.866
Gradient boosting,0.00000,0.06667,0.866
Gradient boosting,0.00000,0.07619,0.866
Gradient boosting,0.00000,0.09048,0.866
Gradient boosting,0.00127,0.10000,0.866
Gradient boosting,0.00127,0.11429,0.866
Gradient boosting,0.00127,0.12857,0.866
Gradient boosting,0.00127,0.13810,0.866
Gradient boosting,0.00127,0.15238,0.866
Gradient boosting,0.00127,0.16667,0.866
Gradient boosting,0.00127,0.17619,0.866
Gradient boosting,0.00253,0.19048,0.866
Gradient boosting,0.00253,0.20000,0.866
Gradient boosting,0.00253,0.21429,0.866
Gradient boosting,0.00253,0.22857,0.866
Gradient boosting,0.00380,0.23810,0.866
Gradient boosting,0.00506,0.24762,0.866
Gradient boosting,0.00506,0.26190,0.866
Gradient boosting,0.00506,0.27619,0.866
Gradient boosting,0.00633,0.28571,0.866
Gradient boosting,0.01139,0.29524,0.866
Gradient boosting,0.01139,0.30476,0.866
Gradient boosting,0.01266,0.31905,0.866
Gradient boosting,0.01266,0.32857,0.866
Gradient boosting,0.01266,0.34286,0.866
Gradient boosting,0.01772,0.34762,0.866
Gradient boosting,0.02025,0.35714,0.866
Gradient boosting,0.02405,0.36667,0.866
Gradient boosting,0.02658,0.37619,0.866
Gradient boosting,0.03038,0.38571,0.866
Gradient boosting,0.03291,0.39524,0.866
Gradient boosting,0.03291,0.40952,0.866
Gradient boosting,0.03418,0.41905,0.866
Gradient boosting,0.03544,0.43333,0.866
Gradient boosting,0.04051,0.43810,0.866
Gradient boosting,0.04304,0.44762,0.866
Gradient boosting,0.04684,0.45714,0.866
Gradient boosting,0.04810,0.47143,0.866
Gradient boosting,0.05063,0.48095,0.866
Gradient boosting,0.05316,0.49048,0.866
Gradient boosting,0.05443,0.50000,0.866
Gradient boosting,0.06203,0.50476,0.866
Gradient boosting,0.06835,0.51429,0.866
Gradient boosting,0.07215,0.51905,0.866
