panel,method,x,accuracy,sem
scaling,Ours,200,0.512,0.021
scaling,Ours,500,0.583,0.018
scaling,Ours,1200,0.648,0.015
scaling,Ours,3000,0.702,0.013
scaling,Ours,7500,0.744,0.011
scaling,Ours,18000,0.771,0.009
scaling,Ours,45000,0.788,0.008
scaling,SFT,200,0.474,0.024
scaling,SFT,500,0.535,0.020
scaling,SFT,1200,0.594,0.017
scaling,SFT,3000,0.643,0.014
scaling,SFT,7500,0.681,0.012
scaling,SFT,18000,0.706,0.011
scaling,SFT,45000,0.719,0.010
scaling,Scratch,200,0.398,0.028
scaling,Scratch,500,0.463,0.024
scaling,Scratch,1200,0.531,0.020
scaling,Scratch,3000,0.589,0.017
scaling,Scratch,7500,0.633,0.014
scaling,Scratch,18000,0.662,0.012
scaling,Scratch,45000,0.677,0.011
benchmark,Ours,MedQA,0.788,0.008
benchmark,Ours,PubMedQA,0.751,0.011
benchmark,Ours,BioASQ,0.812,0.009
benchmark,Ours,MMLU-clin.,0.694,0.014
benchmark,SFT,MedQA,0.719,0.010
benchmark,SFT,PubMedQA,0.706,0.013
benchmark,SFT,BioASQ,0.744,0.011
benchmark,SFT,MMLU-clin.,0.651,0.016
benchmark,Scratch,MedQA,0.677,0.011
benchmark,Scratch,PubMedQA,0.688,0.014
benchmark,Scratch,BioASQ,0.669,0.013
benchmark,Scratch,MMLU-clin.,0.602,0.019
