panel,configuration,dataset,accuracy,ci_low,ci_high
matrix,Full model,MedQA,0.788,,
matrix,Full model,PubMedQA,0.751,,
matrix,Full model,BioASQ,0.812,,
matrix,Full model,MMLU-clin.,0.694,,
matrix,Full model,EHR-QA,0.657,,
matrix,w/o retrieval,MedQA,0.712,,
matrix,w/o retrieval,PubMedQA,0.708,,
matrix,w/o retrieval,BioASQ,0.735,,
matrix,w/o retrieval,MMLU-clin.,0.648,,
matrix,w/o retrieval,EHR-QA,0.601,,
matrix,w/o reranking,MedQA,0.749,,
matrix,w/o reranking,PubMedQA,0.731,,
matrix,w/o reranking,BioASQ,0.778,,
matrix,w/o reranking,MMLU-clin.,0.671,,
matrix,w/o reranking,EHR-QA,0.629,,
matrix,w/o citation loss,MedQA,0.766,,
matrix,w/o citation loss,PubMedQA,0.742,,
matrix,w/o citation loss,BioASQ,0.795,,
matrix,w/o citation loss,MMLU-clin.,0.679,,
matrix,w/o citation loss,EHR-QA,0.618,,
matrix,w/o curriculum,MedQA,0.758,,
matrix,w/o curriculum,PubMedQA,0.727,,
matrix,w/o curriculum,BioASQ,0.784,,
matrix,w/o curriculum,MMLU-clin.,0.666,,
matrix,w/o curriculum,EHR-QA,0.634,,
matrix,w/o augmentation,MedQA,0.771,,
matrix,w/o augmentation,PubMedQA,0.735,,
matrix,w/o augmentation,BioASQ,0.801,,
matrix,w/o augmentation,MMLU-clin.,0.683,,
matrix,w/o augmentation,EHR-QA,0.641,,
matrix,w/o ensembling,MedQA,0.744,,
matrix,w/o ensembling,PubMedQA,0.719,,
matrix,w/o ensembling,BioASQ,0.769,,
matrix,w/o ensembling,MMLU-clin.,0.658,,
matrix,w/o ensembling,EHR-QA,0.622,,
matrix,SFT baseline,MedQA,0.677,,
matrix,SFT baseline,PubMedQA,0.688,,
matrix,SFT baseline,BioASQ,0.669,,
matrix,SFT baseline,MMLU-clin.,0.602,,
matrix,SFT baseline,EHR-QA,0.564,,
delta,Full model - w/o retrieval,MedQA,0.076,0.058,0.094
delta,Full model - w/o retrieval,PubMedQA,0.043,0.011,0.075
delta,Full model - w/o retrieval,BioASQ,0.077,0.061,0.093
delta,Full model - w/o retrieval,MMLU-clin.,0.046,0.031,0.061
delta,Full model - w/o retrieval,EHR-QA,0.056,0.037,0.075
