variable_a,variable_b,block_a,block_b,pearson_r,p_value,n
SOL,WASO,sleep_disruption,sleep_disruption,0.73,3.12e-21,120
SOL,Awakenings,sleep_disruption,sleep_disruption,0.70,5.79e-19,120
WASO,Awakenings,sleep_disruption,sleep_disruption,0.58,3.87e-12,120
SOL,Frag. index,sleep_disruption,sleep_disruption,0.77,8.88e-25,120
WASO,Frag. index,sleep_disruption,sleep_disruption,0.68,1.34e-17,120
Awakenings,Frag. index,sleep_disruption,sleep_disruption,0.70,5.79e-19,120
SOL,PHQ-9,sleep_disruption,affective_distress,0.57,1.08e-11,120
WASO,PHQ-9,sleep_disruption,affective_distress,0.40,6e-06,120
Awakenings,PHQ-9,sleep_disruption,affective_distress,0.50,6.09e-09,120
Frag. index,PHQ-9,sleep_disruption,affective_distress,0.48,2.9e-08,120
SOL,GAD-7,sleep_disruption,affective_distress,0.55,7.69e-11,120
WASO,GAD-7,sleep_disruption,affective_distress,0.42,1.79e-06,120
Awakenings,GAD-7,sleep_disruption,affective_distress,0.51,2.69e-09,120
Frag. index,GAD-7,sleep_disruption,affective_distress,0.47,6.1e-08,120
PHQ-9,GAD-7,affective_distress,affective_distress,0.80,6.05e-28,120
SOL,PSS-10,sleep_disruption,affective_distress,0.44,4.94e-07,120
WASO,PSS-10,sleep_disruption,affective_distress,0.33,0.000233,120
Awakenings,PSS-10,sleep_disruption,affective_distress,0.34,0.000145,120
Frag. index,PSS-10,sleep_disruption,affective_distress,0.44,4.94e-07,120
PHQ-9,PSS-10,affective_distress,affective_distress,0.62,4.32e-14,120
GAD-7,PSS-10,affective_distress,affective_distress,0.65,9.53e-16,120
SOL,PANAS-N,sleep_disruption,affective_distress,0.55,7.69e-11,120
WASO,PANAS-N,sleep_disruption,affective_distress,0.50,6.09e-09,120
Awakenings,PANAS-N,sleep_disruption,affective_distress,0.50,6.09e-09,120
Frag. index,PANAS-N,sleep_disruption,affective_distress,0.49,1.34e-08,120
PHQ-9,PANAS-N,affective_distress,affective_distress,0.74,4.66e-22,120
GAD-7,PANAS-N,affective_distress,affective_distress,0.73,3.12e-21,120
PSS-10,PANAS-N,affective_distress,affective_distress,0.56,2.93e-11,120
SOL,PVT speed,sleep_disruption,cognitive_performance,-0.42,1.79e-06,120
WASO,PVT speed,sleep_disruption,cognitive_performance,-0.29,0.00131,120
Awakenings,PVT speed,sleep_disruption,cognitive_performance,-0.27,0.00286,120
Frag. index,PVT speed,sleep_disruption,cognitive_performance,-0.40,6e-06,120
PHQ-9,PVT speed,affective_distress,cognitive_performance,-0.32,0.000367,120
GAD-7,PVT speed,affective_distress,cognitive_performance,-0.28,0.00195,120
PSS-10,PVT speed,affective_distress,cognitive_performance,-0.17,0.0634,120
PANAS-N,PVT speed,affective_distress,cognitive_performance,-0.24,0.00828,120
SOL,N-back d',sleep_disruption,cognitive_performance,-0.33,0.000233,120
WASO,N-back d',sleep_disruption,cognitive_performance,-0.23,0.0115,120
Awakenings,N-back d',sleep_disruption,cognitive_performance,-0.20,0.0285,120
Frag. index,N-back d',sleep_disruption,cognitive_performance,-0.27,0.00286,120
PHQ-9,N-back d',affective_distress,cognitive_performance,-0.23,0.0115,120
GAD-7,N-back d',affective_distress,cognitive_performance,-0.12,0.192,120
PSS-10,N-back d',affective_distress,cognitive_performance,-0.08,0.385,120
PANAS-N,N-back d',affective_distress,cognitive_performance,-0.22,0.0158,120
PVT speed,N-back d',cognitive_performance,cognitive_performance,0.65,9.53e-16,120
SOL,Stroop acc.,sleep_disruption,cognitive_performance,-0.33,0.000233,120
WASO,Stroop acc.,sleep_disruption,cognitive_performance,-0.13,0.157,120
Awakenings,Stroop acc.,sleep_disruption,cognitive_performance,-0.12,0.192,120
Frag. index,Stroop acc.,sleep_disruption,cognitive_performance,-0.27,0.00286,120
PHQ-9,Stroop acc.,affective_distress,cognitive_performance,-0.12,0.192,120
GAD-7,Stroop acc.,affective_distress,cognitive_performance,-0.13,0.157,120
PSS-10,Stroop acc.,affective_distress,cognitive_performance,-0.11,0.232,120
PANAS-N,Stroop acc.,affective_distress,cognitive_performance,-0.08,0.385,120
PVT speed,Stroop acc.,cognitive_performance,cognitive_performance,0.62,4.32e-14,120
N-back d',Stroop acc.,cognitive_performance,cognitive_performance,0.56,2.93e-11,120
SOL,Switch acc.,sleep_disruption,cognitive_performance,-0.36,5.38e-05,120
WASO,Switch acc.,sleep_disruption,cognitive_performance,-0.26,0.00413,120
Awakenings,Switch acc.,sleep_disruption,cognitive_performance,-0.19,0.0377,120
Frag. index,Switch acc.,sleep_disruption,cognitive_performance,-0.35,8.91e-05,120
PHQ-9,Switch acc.,affective_distress,cognitive_performance,-0.25,0.00589,120
GAD-7,Switch acc.,affective_distress,cognitive_performance,-0.20,0.0285,120
PSS-10,Switch acc.,affective_distress,cognitive_performance,-0.14,0.127,120
PANAS-N,Switch acc.,affective_distress,cognitive_performance,-0.17,0.0634,120
PVT speed,Switch acc.,cognitive_performance,cognitive_performance,0.66,2.42e-16,120
N-back d',Switch acc.,cognitive_performance,cognitive_performance,0.65,9.53e-16,120
Stroop acc.,Switch acc.,cognitive_performance,cognitive_performance,0.69,2.87e-18,120
