id,log2fc,pvalue
gene001,0.146,0.40391
gene002,0.36,0.60941
gene003,-0.936,0.83062
gene004,0.061,0.67992
gene005,-0.008,0.41306
gene006,0.422,0.79178
gene007,0.032,0.7091
gene008,0.224,0.23565
gene009,0.177,0.10573
gene010,0.422,0.55717
gene011,-0.089,0.33685
gene012,0.587,0.76503
gene013,-0.206,0.20974
gene014,0.256,0.08982
gene015,0.198,0.59802
gene016,1.028,0.82417
gene017,-0.246,0.34952
gene018,0.296,0.20563
gene019,-0.055,0.43319
gene020,-0.396,0.5875
gene021,0.357,0.71698
gene022,-0.562,0.30333
gene023,-0.319,0.69479
gene024,0.056,0.28422
gene025,0.418,0.1661
gene026,0.326,0.06085
gene027,0.139,0.58356
gene028,-0.699,0.67568
gene029,-0.226,0.50715
gene030,-0.132,0.14605
gene031,-0.416,0.42952
gene032,-0.808,0.66317
gene033,0.078,0.4951
gene034,0.341,0.29664
gene035,-0.167,0.40219
gene036,0.412,0.37978
gene037,-0.612,0.24098
gene038,-0.441,0.2787
gene039,0.068,0.58122
gene040,-0.205,0.6782
gene041,0.3,0.37808
gene042,0.219,0.18774
gene043,-0.174,0.12659
gene044,-0.574,0.42219
gene045,-0.225,0.45333
gene046,0.231,0.60857
gene047,0.319,0.35791
gene048,-0.203,0.55607
gene049,-0.81,0.12468
gene050,-0.635,0.81971
gene051,0.192,0.61127
gene052,-0.182,0.8255
gene053,-0.171,0.62493
gene054,-0.448,0.27143
gene055,-0.456,0.77257
gene056,0.403,0.21588
gene057,0.209,0.51548
gene058,-0.285,0.73601
gene059,0.035,0.62697
gene060,0.112,0.55371
gene061,0.769,0.57163
gene062,-0.491,0.38557
gene063,0.106,0.44772
gene064,0.401,0.1699
gene065,0.702,0.52218
gene066,-0.307,0.79047
gene067,-0.187,0.33076
gene068,0.305,0.07313
gene069,-0.706,0.43843
gene070,0.15,0.12077
gene071,0.958,0.44511
gene072,0.199,0.50952
gene073,-1.023,0.26725
gene074,-0.39,0.46893
gene075,-0.294,0.07218
gene076,0.512,0.76745
gene077,-0.076,0.49546
gene078,-0.804,0.58943
gene079,-0.026,0.63296
gene080,0.063,0.14065
gene081,-0.24,0.23802
gene082,-0.463,0.49611
gene083,1.022,0.71468
gene084,0.402,0.30713
gene085,0.447,0.28628
gene086,-0.075,0.25849
gene087,-0.314,0.18586
gene088,-0.218,0.4009
gene089,-0.613,0.76388
gene090,0.758,0.76318
gene091,-0.057,0.46749
gene092,0.627,0.66875
gene093,-0.197,0.35206
gene094,0.206,0.6487
gene095,0.088,0.79977
gene096,-0.657,0.15259
gene097,0.827,0.17686
gene098,-0.184,0.53151
gene099,-0.531,0.30171
gene100,0.309,0.8276
gene101,-0.002,0.1694
gene102,0.162,0.23758
gene103,0.043,0.59374
gene104,-0.984,0.45753
gene105,-0.405,0.51699
gene106,-0.422,0.69428
gene107,0.44,0.64249
gene108,0.015,0.15338
gene109,0.234,0.37107
gene110,-0.157,0.44342
gene111,0.258,0.81472
gene112,-0.074,0.79022
gene113,-0.107,0.49638
gene114,0.085,0.13919
gene115,0.043,0.3882
gene116,1.208,0.52885
gene117,-0.41,0.69447
gene118,-0.702,0.67889
gene119,0.151,0.14177
gene120,-0.35,0.68847
gene121,-1.031,0.47696
gene122,-0.51,0.74485
gene123,1.061,0.38299
gene124,-0.421,0.57329
gene125,-0.844,0.41585
gene126,1.022,0.24315
gene127,-0.526,0.70417
gene128,1.25,0.10791
gene129,-0.177,0.17121
gene130,0.83,0.30172
gene131,-0.118,0.78717
gene132,0.209,0.28135
gene133,-0.064,0.14681
gene134,-0.114,0.09904
gene135,0.111,0.09744
gene136,0.226,0.59617
gene137,0.075,0.3078
gene138,0.026,0.75063
gene139,-0.346,0.08956
gene140,-0.047,0.25326
gene141,0.755,0.38593
gene142,-0.366,0.35202
gene143,0.125,0.13583
gene144,0.572,0.09631
gene145,0.23,0.13379
gene146,0.445,0.77261
gene147,-0.533,0.69261
gene148,0.127,0.56577
gene149,-0.14,0.16197
gene150,-0.121,0.46381
gene151,0.706,0.42293
gene152,-0.114,0.56345
gene153,0.142,0.16612
gene154,-0.843,0.38643
gene155,0.829,0.34717
gene156,0.415,0.31536
gene157,-0.029,0.60017
gene158,-0.161,0.80934
gene159,0.28,0.43732
gene160,0.565,0.48067
IFNG,1.86,0.00062
CXCL9,1.54,0.0024
GZMB,1.42,0.0056
PRF1,1.3,0.011
STAT1,1.22,0.018
CXCL10,1.68,0.0075
IL7R,-1.44,0.0018
CCR7,-1.32,0.0062
SELL,-1.57,0.012
TCF7,-1.23,0.017
LEF1,-1.74,0.0048
GATA3,-1.88,0.0095
up01,1.894,0.00855
up02,1.849,0.01159
up03,1.672,0.02153
up04,1.777,0.02675
up05,1.736,0.00505
up06,1.156,0.00942
up07,1.118,0.00711
up08,1.107,0.00417
up09,1.162,0.00394
up10,1.845,0.00993
up11,1.826,0.00596
up12,1.994,0.02351
up13,1.628,0.03511
up14,1.655,0.02895
up15,1.602,0.01048
up16,1.5,0.01189
up17,1.807,0.0059
up18,1.527,0.00978
up19,1.979,0.03298
up20,1.141,0.03577
up21,1.698,0.01547
up22,1.818,0.00816
up23,1.364,0.00459
up24,1.805,0.02251
down01,-1.675,0.02014
down02,-1.888,0.03072
down03,-1.086,0.01473
down04,-1.655,0.00704
down05,-1.48,0.00417
down06,-1.246,0.01326
down07,-1.662,0.00367
down08,-1.311,0.00402
down09,-1.928,0.00518
down10,-1.394,0.0328
down11,-1.444,0.00786
down12,-2.037,0.01413
down13,-1.2,0.02114
down14,-1.578,0.01457
down15,-1.739,0.00436
down16,-1.245,0.03376
down17,-1.023,0.00482
down18,-1.758,0.00536
down19,-1.94,0.00356
down20,-1.364,0.00861
down21,-1.957,0.00461
down22,-2.02,0.02427
down23,-1.903,0.00625
down24,-1.846,0.00445
border01,1.63,0.06651
border02,-1.025,0.0693
border03,1.584,0.20427
border04,-1.242,0.21289
border05,1.073,0.20417
border06,-1.883,0.19898
border07,1.669,0.21084
border08,-1.057,0.09632
border09,1.136,0.15082
border10,-1.713,0.1734
border11,1.812,0.08794
border12,-1.703,0.09475
border13,1.272,0.18778
border14,-1.932,0.17008
border15,1.071,0.17094
border16,-1.059,0.21915
border17,1.68,0.09116
border18,-1.105,0.09304
border19,1.931,0.14254
border20,-1.749,0.17455
border21,1.552,0.08612
border22,-1.9,0.11424
border23,1.558,0.18596
border24,-1.624,0.22931
